id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow4.47.3,1993.0,-758926622_0,5.1,0.0,22.0,2378.0,132346057#5_0,344.19,9.48,385.0,1923.34,132.0,6,0.0,225.43,0,tripinfo_flow4.47.3 emissions_flow4.47.3,car,1.18,,
flow4.47.4,1996.0,-758926622_0,5.1,0.0,25.0,2406.0,132346057#5_0,344.19,6.85,410.0,1923.34,120.0,6,0.0,211.85,0,tripinfo_flow4.47.4 emissions_flow4.47.4,car,0.85,,
flow4.47.5,1999.0,-758926622_0,5.1,0.0,28.0,2408.0,132346057#5_0,344.19,8.59,409.0,1923.34,134.0,7,0.0,243.93,0,tripinfo_flow4.47.5 emissions_flow4.47.5,car,1.11,,
flow4.47.6,2002.0,-758926622_0,5.1,0.0,31.0,2419.0,132346057#5_0,344.19,7.67,417.0,1923.34,130.0,6,0.0,233.45,0,tripinfo_flow4.47.6 emissions_flow4.47.6,car,0.93,,
flow4.50,2015.0,-758926622_0,5.1,0.0,0.0,2421.0,132346057#5_0,344.19,8.96,406.0,1923.34,128.0,7,0.0,244.97,0,tripinfo_flow4.50 emissions_flow4.50,car,1.17,,
flow4.50.1,2018.0,-758926622_0,5.1,0.0,3.0,2423.0,132346057#5_0,344.19,10.18,405.0,1923.34,136.0,5,0.0,247.43,0,tripinfo_flow4.50.1 emissions_flow4.50.1,car,1.24,,
flow5.61,2307.0,67209282#0_0,5.1,0.0,0.0,2453.0,-67504621_0,163.75,7.62,146.0,732.17,42.0,1,0.0,56.73,0,tripinfo_flow5.61 emissions_flow5.61,car_slow,0.97,,
flow5.61.1,2311.0,67209282#0_0,5.1,0.0,4.0,2455.0,-67504621_0,163.75,8.22,144.0,732.17,40.0,1,0.0,55.21,0,tripinfo_flow5.61.1 emissions_flow5.61.1,car_slow,1.02,,
flow5.61.2,2315.0,67209282#0_0,5.1,0.0,8.0,2458.0,-67504621_0,163.75,7.76,143.0,732.17,39.0,1,0.0,53.68,0,tripinfo_flow5.61.2 emissions_flow5.61.2,car_slow,0.97,,
flow5.61.3,2318.0,67209282#0_0,5.1,0.0,11.0,2461.0,-67504621_0,163.75,8.17,143.0,732.17,36.0,1,0.0,53.69,0,tripinfo_flow5.61.3 emissions_flow5.61.3,car_slow,0.98,,
flow5.61.4,2322.0,67209282#0_0,5.1,0.0,15.0,2464.0,-67504621_0,163.75,8.24,142.0,732.17,35.0,1,0.0,52.59,0,tripinfo_flow5.61.4 emissions_flow5.61.4,car_slow,0.93,,
flow1.54,1946.0,-355037966#4_0,5.1,0.0,0.0,2465.0,758926632#3_0,91.01,7.98,519.0,450.84,3.0,2,441.0,17.1,1,tripinfo_flow1.54 emissions_flow1.54,car_slow,1.04,,
flow5.61.5,2326.0,67209282#0_0,5.1,0.0,19.0,2466.0,-67504621_0,163.75,7.83,140.0,732.17,32.0,1,0.0,50.96,0,tripinfo_flow5.61.5 emissions_flow5.61.5,car_slow,0.95,,
flow5.61.6,2330.0,67209282#0_0,5.1,0.0,23.0,2469.0,-67504621_0,163.75,7.82,139.0,732.17,31.0,1,0.0,49.99,0,tripinfo_flow5.61.6 emissions_flow5.61.6,car_slow,0.98,,
flow1.54.1,1949.0,-355037966#4_0,5.1,0.0,3.0,2470.0,758926632#3_0,91.01,7.27,521.0,450.84,2.0,1,441.0,17.53,1,tripinfo_flow1.54.1 emissions_flow1.54.1,car_slow,0.94,,
flow1.54.2,1953.0,-355037966#4_0,5.1,0.0,7.0,2477.0,758926632#3_0,91.01,7.96,524.0,450.84,4.0,1,444.0,19.34,1,tripinfo_flow1.54.2 emissions_flow1.54.2,car_slow,1.04,,
flow4.50.2,2021.0,-758926622_0,5.1,0.0,6.0,2477.0,132346057#5_0,344.19,8.68,456.0,1923.34,182.0,7,0.0,288.25,0,tripinfo_flow4.50.2 emissions_flow4.50.2,car,1.07,,
flow1.32.1,1414.0,-355037966#4_0,5.1,0.0,14.0,2483.0,758926632#3_0,91.01,6.8,1069.0,450.84,199.0,4,793.0,227.51,1,tripinfo_flow1.32.1 emissions_flow1.32.1,car,0.91,,
flow1.54.3,1957.0,-355037966#4_0,5.1,0.0,11.0,2485.0,758926632#3_0,91.01,7.73,528.0,450.84,6.0,2,444.0,23.47,1,tripinfo_flow1.54.3 emissions_flow1.54.3,car_slow,1.02,,
flow1.32.2,1417.0,-355037966#4_0,5.1,0.0,17.0,2490.0,758926632#3_0,91.01,6.62,1073.0,450.84,196.0,5,793.0,232.07,1,tripinfo_flow1.32.2 emissions_flow1.32.2,car,0.93,,
flow4.50.3,2024.0,-758926622_0,5.1,0.0,9.0,2493.0,132346057#5_0,344.19,7.29,469.0,1923.34,174.0,7,0.0,282.8,0,tripinfo_flow4.50.3 emissions_flow4.50.3,car,0.92,,
flow4.50.4,2027.0,-758926622_0,5.1,0.0,12.0,2496.0,132346057#5_0,344.19,7.27,469.0,1923.34,172.0,7,0.0,285.8,0,tripinfo_flow4.50.4 emissions_flow4.50.4,car,0.93,,
flow4.50.5,2030.0,-758926622_0,5.1,0.0,15.0,2498.0,132346057#5_0,344.19,7.08,468.0,1923.34,179.0,6,0.0,287.94,0,tripinfo_flow4.50.5 emissions_flow4.50.5,car,0.96,,
flow4.50.6,2033.0,-758926622_0,5.1,0.0,18.0,2500.0,132346057#5_0,344.19,8.97,467.0,1923.34,179.0,6,0.0,301.6,0,tripinfo_flow4.50.6 emissions_flow4.50.6,car,1.11,,
flow4.53,2201.0,-758926622_0,5.1,0.0,0.0,2502.0,132346057#5_0,344.19,7.6,301.0,1923.34,73.0,3,0.0,136.65,0,tripinfo_flow4.53 emissions_flow4.53,car_fast,1.0,,
flow1.32.3,1420.0,-355037966#4_0,5.1,0.0,20.0,2503.0,758926632#3_0,91.01,6.17,1083.0,450.84,199.0,7,796.0,234.73,1,tripinfo_flow1.32.3 emissions_flow1.32.3,car,0.81,,
flow4.53.1,2204.0,-758926622_0,5.1,0.0,3.0,2504.0,132346057#5_0,344.19,8.31,300.0,1923.34,75.0,3,0.0,157.55,0,tripinfo_flow4.53.1 emissions_flow4.53.1,car_fast,1.17,,
flow1.54.4,1961.0,-355037966#4_0,5.1,0.0,15.0,2506.0,758926632#3_0,91.01,8.19,545.0,450.84,17.0,3,454.0,29.64,1,tripinfo_flow1.54.4 emissions_flow1.54.4,car_slow,1.04,,
flow4.53.2,2207.0,-758926622_0,5.1,0.0,6.0,2507.0,132346057#5_0,344.19,6.92,300.0,1923.34,69.0,3,0.0,129.34,0,tripinfo_flow4.53.2 emissions_flow4.53.2,car_fast,0.96,,
flow1.32.4,1423.0,-355037966#4_0,5.1,0.0,23.0,2508.0,758926632#3_0,91.01,8.29,1085.0,450.84,198.0,7,795.0,246.01,1,tripinfo_flow1.32.4 emissions_flow1.32.4,car,1.1,,
flow4.53.3,2210.0,-758926622_0,5.1,0.0,9.0,2509.0,132346057#5_0,344.19,6.83,299.0,1923.34,67.0,3,0.0,130.02,0,tripinfo_flow4.53.3 emissions_flow4.53.3,car_fast,0.97,,
flow1.54.5,1965.0,-355037966#4_0,5.1,0.0,19.0,2513.0,758926632#3_0,91.01,7.32,548.0,450.84,12.0,2,450.0,35.97,1,tripinfo_flow1.54.5 emissions_flow1.54.5,car_slow,0.96,,
flow1.32.5,1426.0,-355037966#4_0,5.1,0.0,26.0,2519.0,758926632#3_0,91.01,7.97,1093.0,450.84,199.0,7,798.0,251.0,1,tripinfo_flow1.32.5 emissions_flow1.32.5,car,1.08,,
