id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow5.54.3,1965.0,67209282#0_0,5.1,0.0,11.0,2074.0,-67504621_0,163.75,12.99,109.0,732.17,40.0,1,0.0,60.37,0,tripinfo_flow5.54.3 emissions_flow5.54.3,car_fast,0.98,,
flow5.54.4,1967.0,67209282#0_0,5.1,0.0,13.0,2078.0,-67504621_0,163.75,12.99,111.0,732.17,39.0,1,0.0,60.68,0,tripinfo_flow5.54.4 emissions_flow5.54.4,car_fast,0.94,,
flow4.52,1907.0,-758926622_0,5.1,0.0,0.0,2130.0,132346057#5_0,344.19,6.45,223.0,1923.34,0.0,0,0.0,29.5,0,tripinfo_flow4.52 emissions_flow4.52,car,0.87,,
flow4.52.1,1910.0,-758926622_0,5.1,0.0,3.0,2135.0,132346057#5_0,344.19,6.52,225.0,1923.34,0.0,0,0.0,29.11,0,tripinfo_flow4.52.1 emissions_flow4.52.1,car,0.87,,
flow4.52.2,1913.0,-758926622_0,5.1,0.0,6.0,2147.0,132346057#5_0,344.19,6.2,234.0,1923.34,0.0,0,0.0,29.96,0,tripinfo_flow4.52.2 emissions_flow4.52.2,car,0.82,,
flow4.52.3,1916.0,-758926622_0,5.1,0.0,9.0,2149.0,132346057#5_0,344.19,7.29,233.0,1923.34,0.0,0,0.0,50.33,0,tripinfo_flow4.52.3 emissions_flow4.52.3,car,0.94,,
flow4.52.4,1919.0,-758926622_0,5.1,0.0,12.0,2151.0,132346057#5_0,344.19,7.14,232.0,1923.34,0.0,0,0.0,59.85,0,tripinfo_flow4.52.4 emissions_flow4.52.4,car,1.01,,
flow5.57,2068.0,67209282#0_0,5.1,0.0,0.0,2160.0,-67504621_0,163.75,12.33,92.0,732.17,22.0,1,0.0,35.09,0,tripinfo_flow5.57 emissions_flow5.57,car,0.95,,
flow5.57.1,2071.0,67209282#0_0,5.1,0.0,3.0,2161.0,-67504621_0,163.75,13.11,90.0,732.17,21.0,1,0.0,35.91,0,tripinfo_flow5.57.1 emissions_flow5.57.1,car,1.2,,
flow5.57.2,2074.0,67209282#0_0,5.1,0.0,6.0,2166.0,-67504621_0,163.75,11.9,92.0,732.17,18.0,1,0.0,34.14,0,tripinfo_flow5.57.2 emissions_flow5.57.2,car,0.9,,
flow5.57.3,2077.0,67209282#0_0,5.1,0.0,9.0,2168.0,-67504621_0,163.75,13.61,91.0,732.17,16.0,1,0.0,35.42,0,tripinfo_flow5.57.3 emissions_flow5.57.3,car,0.99,,
flow1.32.4,1417.0,-355037966#4_0,5.1,0.0,17.0,2170.0,758926622_0,154.47,12.73,753.0,1323.87,607.0,4,0.0,652.11,0,tripinfo_flow1.32.4 emissions_flow1.32.4,car,0.97,,
flow5.57.4,2080.0,67209282#0_0,5.1,0.0,12.0,2170.0,-67504621_0,163.75,13.11,90.0,732.17,16.0,1,0.0,35.34,0,tripinfo_flow5.57.4 emissions_flow5.57.4,car,1.12,,
flow5.53,2098.0,67209282#0_0,5.1,0.0,0.0,2178.0,-67504621_0,163.75,13.65,80.0,732.17,7.0,1,0.0,25.83,0,tripinfo_flow5.53 emissions_flow5.53,car,1.11,,
flow5.53.1,2100.0,67209282#0_0,5.1,0.0,2.0,2182.0,-67504621_0,163.75,13.36,82.0,732.17,4.0,1,0.0,26.85,0,tripinfo_flow5.53.1 emissions_flow5.53.1,car,1.0,,
flow5.53.2,2103.0,67209282#0_0,5.1,0.0,5.0,2185.0,-67504621_0,163.75,12.64,82.0,732.17,2.0,1,0.0,26.74,0,tripinfo_flow5.53.2 emissions_flow5.53.2,car,1.14,,
flow5.53.3,2106.0,67209282#0_0,5.1,0.0,8.0,2188.0,-67504621_0,163.75,13.7,82.0,732.17,3.0,1,0.0,26.94,0,tripinfo_flow5.53.3 emissions_flow5.53.3,car,1.02,,
flow5.53.4,2109.0,67209282#0_0,5.1,0.0,11.0,2190.0,-67504621_0,163.75,13.59,81.0,732.17,0.0,0,0.0,26.4,0,tripinfo_flow5.53.4 emissions_flow5.53.4,car,1.11,,
flow4.49,1963.0,-758926622_0,5.1,0.0,0.0,2197.0,132346057#5_0,344.19,9.04,234.0,1923.34,37.0,2,0.0,69.81,0,tripinfo_flow4.49 emissions_flow4.49,car,1.11,,
flow4.49.1,1966.0,-758926622_0,5.1,0.0,3.0,2228.0,132346057#5_0,344.19,6.21,262.0,1923.34,15.0,2,0.0,57.83,0,tripinfo_flow4.49.1 emissions_flow4.49.1,car,0.82,,
flow4.49.2,1969.0,-758926622_0,5.1,0.0,6.0,2230.0,132346057#5_0,344.19,8.18,261.0,1923.34,14.0,2,0.0,98.1,0,tripinfo_flow4.49.2 emissions_flow4.49.2,car,1.13,,
flow4.49.3,1972.0,-758926622_0,5.1,0.0,9.0,2235.0,132346057#5_0,344.19,7.31,263.0,1923.34,15.0,3,0.0,73.37,0,tripinfo_flow4.49.3 emissions_flow4.49.3,car,0.9,,
flow4.49.4,1975.0,-758926622_0,5.1,0.0,12.0,2237.0,132346057#5_0,344.19,7.84,262.0,1923.34,12.0,2,0.0,90.02,0,tripinfo_flow4.49.4 emissions_flow4.49.4,car,1.02,,
flow5.52,2142.0,67209282#0_0,5.1,0.0,0.0,2249.0,-67504621_0,163.75,12.65,107.0,732.17,36.0,1,0.0,52.8,0,tripinfo_flow5.52 emissions_flow5.52,car,1.1,,
flow4.47,1978.0,-758926622_0,5.1,0.0,7.0,2251.0,132346057#5_0,344.19,5.73,273.0,1923.34,7.0,2,0.0,67.06,0,tripinfo_flow4.47 emissions_flow4.47,car,0.82,,
flow5.52.1,2144.0,67209282#0_0,5.1,0.0,2.0,2252.0,-67504621_0,163.75,13.46,108.0,732.17,33.0,1,0.0,52.82,0,tripinfo_flow5.52.1 emissions_flow5.52.1,car,1.08,,
flow4.47.1,1981.0,-758926622_0,5.1,0.0,10.0,2253.0,132346057#5_0,344.19,8.05,272.0,1923.34,5.0,2,0.0,94.8,0,tripinfo_flow4.47.1 emissions_flow4.47.1,car,0.97,,
flow4.47.2,1984.0,-758926622_0,5.1,0.0,13.0,2255.0,132346057#5_0,344.19,8.4,271.0,1923.34,10.0,2,0.0,100.47,0,tripinfo_flow4.47.2 emissions_flow4.47.2,car,1.03,,
flow4.47.3,1988.0,-758926622_0,5.1,0.0,17.0,2257.0,132346057#5_0,344.19,7.8,269.0,1923.34,8.0,3,0.0,92.73,0,tripinfo_flow4.47.3 emissions_flow4.47.3,car,0.98,,
flow5.52.2,2148.0,67209282#0_0,5.1,0.0,6.0,2257.0,-67504621_0,163.75,12.64,109.0,732.17,33.0,1,0.0,51.51,0,tripinfo_flow5.52.2 emissions_flow5.52.2,car,0.92,,
flow4.47.4,1991.0,-758926622_0,5.1,0.0,20.0,2259.0,132346057#5_0,344.19,7.92,268.0,1923.34,8.0,3,0.0,98.8,0,tripinfo_flow4.47.4 emissions_flow4.47.4,car,1.03,,
flow5.52.3,2151.0,67209282#0_0,5.1,0.0,9.0,2262.0,-67504621_0,163.75,11.05,111.0,732.17,31.0,1,0.0,50.16,0,tripinfo_flow5.52.3 emissions_flow5.52.3,car,0.84,,
flow5.52.4,2154.0,67209282#0_0,5.1,0.0,12.0,2264.0,-67504621_0,163.75,10.62,110.0,732.17,31.0,1,0.0,49.71,0,tripinfo_flow5.52.4 emissions_flow5.52.4,car,0.85,,
flow5.50,2171.0,67209282#0_0,5.1,0.0,0.0,2266.0,-67504621_0,163.75,13.25,95.0,732.17,18.0,1,0.0,39.07,0,tripinfo_flow5.50 emissions_flow5.50,car,0.96,,
